keyword,202303,tot_cnt
sustainability,5,5
greenhouse,1,1
economic,10,10
pollutants,2,2
energy,14,14
transport,5,5
waste,2,2
tourism,4,4
sectors,19,19
circular,1,1
systems,2,2
labour,3,3
resources,5,5
activities,1,1
gadgets,1,1
extract,2,2
tropical,1,1
packages,1,1
enjoy,2,2
replenish,1,1
human,1,1
capital,9,9
harming,1,1
standards,15,15
inexpensive,1,1
like,1,1
significant,8,8
sorts,1,1
hitech,1,1
throw,1,1
countless,1,1
true,5,5
sustainability europe,1,1
produce tropical,1,1
materials energy,1,1
services offering,1,1
recession,22,22
dollar,3,3
governments,3,3
london,2,2
ftse,2,2
sustainable,12,12
debtfueled,2,2
pensions,5,5
stocks,6,6
gas,2,2
shrink,3,3
watchdog,4,4
g7,3,3
factors,6,6
december,5,5
berenbergs,2,2
cnn,2,2
taxable,3,3
ey,2,2
downbeat,2,2
longterm,12,12
repeat,3,3
boost,10,10
beck,2,2
suisse,6,6
doesnt,4,4
kwasi,2,2
constraint,2,2
pledge,4,4
stages,2,2
hike,5,5
added,5,5
reverberate,2,2
uk finance,2,2
gdp fell,2,2
september 2025,2,2
reduce availability,2,2
forecasts,7,7
reuters,8,8
budget,12,12
finance,2,2
thomson,3,3
projections,1,1
growth,16,16
output,4,4
contract,2,2
jeremy,8,8
latest,5,5
britains,1,1
minister,11,11
outlook,16,16
holton,1,1
office,3,3
march,18,18
speech,5,5
parliament,3,3
contraction,4,4
hunt,7,7
andy,1,1
responsibility,2,2
previous,3,3
figure,5,5
bruce,1,1
grow,6,6
wednesday,18,18
principles,1,1
trust,4,4
obr forecast,1,1
britains economy,2,2
contract 2023,1,1
jeremy hunt,2,2
trust principles,2,2
inflation,25,25
covid19,5,5
instability,3,3
tax,11,11
obr,5,5
percent,3,3
fall,2,2
opinion,3,3
cuts,2,2
avoid,4,4
end,3,3
signs,3,3
hsbc,2,2
major,7,7
ruled,1,1
workers,1,1
enter,2,2
recovery,10,10
day,2,2
technical,2,2
measures,13,13
nearstagnant,1,1
channel,2,2
silicon,14,14
budget speech,1,1
problems fall,1,1
recover prepandemic,1,1
estonia,1,1
rating,4,4
robust,3,3
competitiveness,1,1
domestic,10,10
largest,8,8
population,7,7
hydroelectric,2,2
emissions,4,4
issuer,2,2
raw,2,2
inequality,1,1
leap,1,1
platforms,5,5
reform,3,3
employees,1,1
tverdostup,1,1
initial,4,4
pandemic,11,11
able,2,2
fitch,1,1
shrinks,1,1
reliance,3,3
paywall,1,1
stillhigh,1,1
forces,2,2
urmas,1,1
connector,1,1
exemption,2,2
shocks estonia,1,1
rate eurozone,1,1
monthly income,1,1
rating fitch,1,1
devoted greatest,1,1
circularity,1,1
eu,1,1
consume,2,2
strategies,3,3
fibres,1,1
minerals,3,3
rates,11,11
commissions,1,1
models,2,2
value,3,3
impact,7,7
things,2,2
new,6,6
decrease,3,3
singleuse,1,1
linear,1,1
years,6,6
allow,2,2
embrace,1,1
overall,5,5
promoted,1,1
offers,2,2
circular economy,1,1
redistributing strategies,1,1
raw materials,1,1
use means,1,1
retail,5,5
producer,2,2
wednesdays,1,1
unemployed,4,4
months,7,7
fears,5,5
fedwatch,1,1
somewhat,1,1
policymakers,5,5
pace,7,7
upgrade,2,2
toronto,1,1
outlets,1,1
volatile,4,4
jpmorgan,4,4
payback,2,2
smallest,1,1
index,9,9
premature,1,1
brakes,1,1
basis,9,9
unfolding,1,1
online,3,3
twothirds,1,1
guatieri,1,1
hiking,1,1
sales fall,1,1
spending february,1,1
rate hike,2,2
forecasts atlanta,1,1
fed uncomfortable,1,1
banks,8,8
sachs,2,2
forecast,9,9
gdp,6,6
liquidity,4,4
consumer,5,5
italy,2,2
valley,4,4
loantodeposit,1,1
quarters,3,3
shares,3,3
likely,9,9
effect,3,3
turmoil,1,1
failures,2,2
manuel,1,1
pullback,1,1
personal,1,1
abecasis,1,1
ratio,2,2
fdiccovered,1,1
mericle,1,1
play,2,2
lending goldman,1,1
gdp growth,2,2
clients small,1,1
standards weigh,1,1
taliban,1,1
delhi,3,3
doha,1,1
regime,1,1
embassy,1,1
shaheen,1,1
institute,5,5
ministry,6,6
cultural,1,1
cooperation,3,3
attend,1,1
package,2,2
latent,1,1
synopsis,1,1
opportunity,1,1
aid,4,4
relevant,2,2
itec,1,1
read,5,5
climate,4,4
kozhikode,1,1
external,2,2
outsiders,1,1
virtual,2,2
reopen,1,1
fourday,1,1
thoughts,1,1
current,9,9
uniqueness,1,1
bilateral,1,1
website,3,3
selection,2,2
stay,4,4
crash,1,1
india taliban,1,1
understanding latent,1,1
reopen embassy,1,1
programme facilitates,1,1
perus,2,2
january,4,4
exports,7,7
copper,1,1
protests,1,1
mining,1,1
power,3,3
official,3,3
activity,2,2
statement,5,5
worlds,5,5
agency,2,2
telecommunications,1,1
statistics,5,5
antigovernment,1,1
conflicts,1,1
gross,9,9
roads,1,1
shut,2,2
parts,2,2
restaurants,1,1
paralyzed,1,1
kylie,2,2
alire,2,2
woodford,1,1
reuters perus,1,1
labor blocked,1,1
dropped statement,1,1
ministers,3,3
reformierakond,1,1
akkermann,1,1
løkkegaard,1,1
werner,1,1
bank,9,9
fianna,2,2
morten,1,1
liberal,1,1
partei,1,1
alde,1,1
fdp,1,1
regulation,2,2
hoyer,1,1
centrist,1,1
mep,1,1
union,2,2
investment,7,7
fáil,1,1
president,5,5
michael,4,4
mcgrath,1,1
united,2,2
participants,1,1
transitions,1,1
focused,1,1
education,1,1
prioritise,2,2
relations,2,2
green,3,3
digital,8,8
finance demokratesch,1,1
list participants,1,1
stephanie lose,1,1
states,1,1
firms,1,1
industry,3,3
germany,1,1
france,1,1
state,4,4
crisis,5,5
smaller,2,2
involve,1,1
permission,1,1
counterpunch,1,1
unhappy,1,1
levels,2,2
smaller states,1,1
energy crisis,1,1
counterpunch allowing,1,1
savings,1,1
fiveyear,2,2
minibudget,2,2
increase,6,6
early,5,5
backlog,1,1
assessment,4,4
prepandemic,3,3
unchanged,2,2
england,1,1
ambitious,1,1
cost,8,8
consultancy,1,1
debacle,1,1
setter,1,1
hughes,1,1
half,5,5
apply,1,1
david,3,3
produce,2,2
wriggle,1,1
expectation,4,4
thinktanks,1,1
hardpressed,1,1
strings,1,1
settlements,1,1
falling recession,1,1
minibudget debacle,1,1
expects uk,1,1
prepandemic strength,1,1
recaptcha protect,1,1
quarterly,1,1
ceos,1,1
market,6,6
average,23,23
